npsn,nama_sekolah,jenjang,kecamatan,kota_kabupaten,jumlah_siswa
20100143,SMKN 1 JAKARTA,SMK,Sawah Besar,Jakarta Pusat ,1752
20100156,SMKN 54 JAKARTA,SMK,Kemayoran,Jakarta Pusat ,968
20100157,SMKN 44 JAKARTA,SMK,Kemayoran,Jakarta Pusat ,634
20100158,SMKN 14 JAKARTA,SMK,Johar Baru,Jakarta Pusat ,911
20100159,SMKN 16 JAKARTA,SMK,Menteng,Jakarta Pusat ,637
20100160,SMKN 19 JAKARTA,SMK,Tanah Abang,Jakarta Pusat ,670
20100161,SMKN 2 JAKARTA,SMK,Gambir,Jakarta Pusat ,707
20100162,SMKN 21 JAKARTA,SMK,Kemayoran,Jakarta Pusat ,552
20100164,SMKN 3 JAKARTA,SMK,Kemayoran,Jakarta Pusat ,526
20100165,SMKN 31 JAKARTA,SMK,Johar Baru,Jakarta Pusat ,619
20100166,SMKN 34 JAKARTA,SMK,Senen,Jakarta Pusat ,661
20100167,SMKN 38 JAKARTA,SMK,Tanah Abang,Jakarta Pusat ,548
20100168,SMKN 39 JAKARTA,SMK,Cempaka Putih,Jakarta Pusat ,891
20100199,SMAN 68 JAKARTA,SMA,Senen,Jakarta Pusat ,887
20100200,SMAN 7 JAKARTA,SMA,Tanah Abang,Jakarta Pusat ,718
20100201,SMAN 77 JAKARTA,SMA,Cempaka Putih,Jakarta Pusat ,666
20100210,SMAN 5 JAKARTA,SMA,Kemayoran,Jakarta Pusat ,883
20100211,SMAN 4 JAKARTA,SMA,Gambir,Jakarta Pusat ,622
20100212,SMAN 35 JAKARTA,SMA,Tanah Abang,Jakarta Pusat ,718
20100216,SMAN 1 JAKARTA,SMA,Sawah Besar,Jakarta Pusat ,884
20100217,SMAN 10 JAKARTA,SMA,Sawah Besar,Jakarta Pusat ,544
20100218,SMAN 20 JAKARTA,SMA,Sawah Besar,Jakarta Pusat ,536
20100219,SMAN 24 JAKARTA,SMA,Tanah Abang,Jakarta Pusat ,512
20100221,SMAN 25 JAKARTA,SMA,Gambir,Jakarta Pusat ,558
20100223,SMAN 27 JAKARTA,SMA,Johar Baru,Jakarta Pusat ,777
20100224,SMAN 30 JAKARTA,SMA,Cempaka Putih,Jakarta Pusat ,888
20100228,SMP NEGERI 137 JAKARTA,SMP,Cempaka Putih,Jakarta Pusat ,672
20100230,SMP Negeri 156,SMP,Johar Baru,Jakarta Pusat ,783
20100231,SMP Negeri 17,SMP,Sawah Besar,Jakarta Pusat ,536
20100232,SMP Negeri 18,SMP,Menteng,Jakarta Pusat ,766
20100233,SMP NEGERI 181 JAKARTA,SMP,Tanah Abang,Jakarta Pusat ,636
20100235,SMP NEGERI 183,SMP,Kemayoran,Jakarta Pusat ,574
20100236,SMPN 2 JAKARTA,SMP,Johar Baru,Jakarta Pusat ,874
20100237,SMP Negeri 216,SMP,Senen,Jakarta Pusat ,1046
20100238,SMP Negeri 228,SMP,Kemayoran,Jakarta Pusat ,888
20100240,SMP NEGERI 119,SMP,Kemayoran,Jakarta Pusat ,776
20100241,SMP Negeri 118,SMP,Cempaka Putih,Jakarta Pusat ,656
20100251,SMP NEGERI 1 JAKARTA,SMP,Menteng,Jakarta Pusat ,779
20100252,SMP Negeri 10,SMP,Kemayoran,Jakarta Pusat ,775
20100253,SMP Negeri 269,SMP,Kemayoran,Jakarta Pusat ,744
20100255,SMP Negeri 273,SMP,Tanah Abang,Jakarta Pusat ,736
20100256,SMP NEGERI 76 JAKARTA,SMP,Johar Baru,Jakarta Pusat ,662
20100257,SMP Negeri 77,SMP,Cempaka Putih,Jakarta Pusat ,668
20100258,SMP NEGERI 78,SMP,Kemayoran,Jakarta Pusat ,555
20100259,SMP Negeri 79,SMP,Kemayoran,Jakarta Pusat ,784
20100260,SMP NEGERI 8 JAKARTA,SMP,Menteng,Jakarta Pusat ,719
20100261,SMP Negeri 93,SMP,Kemayoran,Jakarta Pusat ,648
20100262,SMP Negeri 94,SMP,Gambir,Jakarta Pusat ,436
20100267,SMP Negeri 72,SMP,Gambir,Jakarta Pusat ,441
20100269,SMP Negeri 70,SMP,Tanah Abang,Jakarta Pusat ,647
20100270,SMP Negeri 28,SMP,Johar Baru,Jakarta Pusat ,776
20100271,SMP Negeri 280,SMP,Menteng,Jakarta Pusat ,497
20100272,SMP Negeri 38,SMP,Tanah Abang,Jakarta Pusat ,668
20100274,SMP Negeri 4,SMP,Sawah Besar,Jakarta Pusat ,682
20100275,SMP Negeri 40 SSN,SMP,Tanah Abang,Jakarta Pusat ,856
20100276,SMP Negeri 47 Jakarta,SMP,Cempaka Putih,Jakarta Pusat ,669
20100277,SMP Negeri 5,SMP,Sawah Besar,Jakarta Pusat ,593
20100278,SMP Negeri 59,SMP,Kemayoran,Jakarta Pusat ,667
20100279,SMP Negeri 60,SMP,Gambir,Jakarta Pusat ,475
20100280,SMP Negeri 64,SMP,Sawah Besar,Jakarta Pusat ,539
20100370,SDN Bungur 01,SD,Senen,Jakarta Pusat ,382
20100372,SDN Bungur 03 Pg.,SD,Senen,Jakarta Pusat ,441
20100374,SD NEGERI CEMPAKA PUTIH BARAT 01 PAGI,SD,Cempaka Putih,Jakarta Pusat ,577
20100375,SDN Cempaka Putih Barat 03 Pg,SD,Cempaka Putih,Jakarta Pusat ,583
20100377,SDSN CEMPAKA PUTIH BARAT 05,SD,Cempaka Putih,Jakarta Pusat ,300
20100378,SDN Cempaka Putih Barat 07 Pg.,SD,Cempaka Putih,Jakarta Pusat ,466
20100379,SDN BENDUNGAN HILIR 09 PAGI,SD,Tanah Abang,Jakarta Pusat ,368
20100390,SDN BENDUNGAN HILIR 01,SD,Tanah Abang,Jakarta Pusat ,686
20100392,SDN BENDUNGAN HILIR 05 PAGI,SD,Tanah Abang,Jakarta Pusat ,333
20100459,SDN Paseban 03 Pg.,SD,Senen,Jakarta Pusat ,334
20100460,SDN Paseban 05 Pagi,SD,Senen,Jakarta Pusat ,358
20100464,SDN PASAR BARU 05,SD,Sawah Besar,Jakarta Pusat ,291
20100466,SDN Kramat 05 Pagi,SD,Senen,Jakarta Pusat ,146
20100467,SDN Kramat 06 Pg.,SD,Senen,Jakarta Pusat ,238
20100468,SDN Kramat 07 Pt.,SD,Senen,Jakarta Pusat ,240
20100469,SDN KRAMAT 08 PAGI,SD,Senen,Jakarta Pusat ,176
20100473,SDN MANGGA DUA SELATAN 03 PG.,SD,Sawah Besar,Jakarta Pusat ,212
20100476,SDN Pasar Baru 03 Pg.,SD,Sawah Besar,Jakarta Pusat ,404
20100477,SDN Paseban 09 Pg.,SD,Senen,Jakarta Pusat ,200
20100480,SD NEGERI RAWASARI 03 PAGI,SD,Cempaka Putih,Jakarta Pusat ,209
20100496,SDN Paseban 18 Pg.,SD,Senen,Jakarta Pusat ,274
20100501,SDN Petamburan 03 Pagi,SD,Tanah Abang,Jakarta Pusat ,443
20100513,SDN Karang Anyar 02 PT,SD,Sawah Besar,Jakarta Pusat ,174
20100514,SD NEGERI KARANG ANYAR 03 PG,SD,Sawah Besar,Jakarta Pusat ,243
20100515,SD NEGERI KARANG ANYAR 04 PT,SD,Sawah Besar,Jakarta Pusat ,183
20100516,SD NEGERI KARANG ANYAR 06 PT,SD,Sawah Besar,Jakarta Pusat ,164
20100517,SDN KARANG ANYAR 07 PAGI,SD,Sawah Besar,Jakarta Pusat ,280
20100521,SDN Cempaka Putih Barat 15 Pg.,SD,Cempaka Putih,Jakarta Pusat ,421
20100522,SD NEGERI CEMPAKA PUTIH BARAT 17 PAGI,SD,Cempaka Putih,Jakarta Pusat ,543
20100523,SDN Cempaka Putih Barat 19 Pg.,SD,Cempaka Putih,Jakarta Pusat ,546
20100528,SD NEGERI CEMPAKA PUTIH TIMUR 01PG,SD,Cempaka Putih,Jakarta Pusat ,455
20100530,SD NEGERI CEMPAKA PUTIH TIMUR 03 PAGI,SD,Cempaka Putih,Jakarta Pusat ,412
20100532,SDN Karang Anyar 08 Pg.,SD,Sawah Besar,Jakarta Pusat ,204
20100539,SDN Kenari 07,SD,Senen,Jakarta Pusat ,529
20100545,SDN Kramat 01,SD,Senen,Jakarta Pusat ,335
20100550,SDN Karet Tengsin 15,SD,Tanah Abang,Jakarta Pusat ,355
20100552,SD NEGERI KARET TENGSIN 21 PG,SD,Tanah Abang,Jakarta Pusat ,194
20100565,SDN Tugu Selatan 03 Pg.,SD,Koja,Jakarta Utara ,538
20100568,SDN Tugu Selatan 01 Pg,SD,Koja,Jakarta Utara ,516
20100575,SDN TUGU UTARA 09.,SD,Koja,Jakarta Utara ,498
20100577,SD NEGERI TUGU UTARA 11,SD,Koja,Jakarta Utara ,494
20100579,SD NEGERI SUNTER JAYA 03 PG,SD,Tanjung Priok,Jakarta Utara ,584
20100582,SDN Semper Barat 09 Pagi,SD,Cilincing,Jakarta Utara ,709
20100584,SDN Semper Barat 11 Pg.,SD,Cilincing,Jakarta Utara ,755
20100586,SDN SEMPER BARAT 13,SD,Cilincing,Jakarta Utara ,639
20100591,SD NEGERI SEMPER TIMUR 05 PG JAKARTA,SD,Cilincing,Jakarta Utara ,351
20100593,SDN Sukapura 01 Pg.,SD,Cilincing,Jakarta Utara ,388
20100596,SD NEGERI SUKAPURA 04 PG,SD,Cilincing,Jakarta Utara ,319
20100597,SDN SEMPER BARAT 08 PETANG,SD,Cilincing,Jakarta Utara ,347
20100598,SDN Tugu Utara 13 Pg.,SD,Koja,Jakarta Utara ,290
20100618,SDN TUGU UTARA 14 PAGI,SD,Koja,Jakarta Utara ,279
20100619,SDN Tugu Utara 15 Pg.,SD,Koja,Jakarta Utara ,679
20100622,SDN Tugu Utara 19 Pg.,SD,Koja,Jakarta Utara ,411
20100624,SDN Tugu Utara 21 Pg.,SD,Koja,Jakarta Utara ,317
20100625,SDN TUGU UTARA 22,SD,Koja,Jakarta Utara ,615
20100633,SD NEGERI SEMPER BARAT 07 PG,SD,Cilincing,Jakarta Utara ,334
20100636,SDN Penjaringan 06 Pg.,SD,Penjaringan,Jakarta Utara ,1339
20100638,SDN PENJARINGAN 08 PAGI,SD,Penjaringan,Jakarta Utara ,373
20100639,SD NEGERI PENJARINGAN 10 PG,SD,Penjaringan,Jakarta Utara ,370
20100645,SDN Rawa Badak Selatan 01 Pg.,SD,Koja,Jakarta Utara ,664
20100647,SD NEGERI RAWA BADAK SELATAN 03 PG JAKARTA,SD,Koja,Jakarta Utara ,476
20100648,SD NEGERI RAWA BADAK SELATAN 05,SD,Koja,Jakarta Utara ,406
